dig_des,dep_id,total_visits,readmissions,readmission_rate_pct,avg_bill_amount
Autoimmune Disorders,DPT859,121,28,23.1,16258.06
Dermatology,DPT731,134,31,23.1,11685.71
Preventive,DPT237,121,28,23.1,12242.42
Palliative,DPT845,121,28,23.1,15720.93
Endocrine,DPT802,143,33,23.1,15305.56
Endoscopy,DPT681,130,30,23.1,14133.33
Sleep Disorders,DPT526,143,33,23.1,10666.67
Endocrine,DPT915,148,34,23.0,13486.49
Obstetrics,DPT478,113,26,23.0,13153.85
Geriatrics,DPT412,148,34,23.0,13511.11
Autoimmune Disorders,DPT104,122,28,23.0,14485.71
Respiratory,DPT103,139,32,23.0,10966.67
Ophthalmology,DPT520,152,35,23.0,12459.46
Musculoskeletal,DPT478,113,26,23.0,12000.0
Metabolic Disorders,DPT104,139,32,23.0,12078.95
Oral,DPT915,152,35,23.0,11981.13
Oncology,DPT915,140,32,22.9,13166.67
Cardiac Electrophysiology,DPT589,157,36,22.9,15666.67
Otolaryngology,DPT589,166,38,22.9,13295.45
Congenital,DPT364,131,30,22.9,11484.85
Neuromuscular,DPT859,131,30,22.9,13000.0
Cardiovascular,DPT119,136,31,22.8,15324.32
Metabolic Disorders,DPT237,127,29,22.8,15035.71
Trauma,DPT369,123,28,22.8,12000.0
Hematology,DPT845,145,33,22.8,12243.24
Psychiatric,DPT418,145,33,22.8,12914.29
Psychiatric,DPT412,114,26,22.8,9689.66
Ophthalmology,DPT913,114,26,22.8,14366.67
Endoscopy,DPT110,114,26,22.8,11638.89
Reproductive - Male,DPT794,136,31,22.8,12820.51
Preventive,DPT681,110,25,22.7,12918.92
Ophthalmology,DPT624,110,25,22.7,10833.33
Addiction,DPT305,128,29,22.7,13775.0
Autoimmune Disorders,DPT418,163,37,22.7,10979.59
Gastrointestinal,DPT802,128,29,22.7,11857.14
Neurological,DPT681,128,29,22.7,12000.0
Reproductive - Female,DPT418,146,33,22.6,13606.06
Congenital,DPT478,124,28,22.6,10657.14
Radiology,DPT337,137,31,22.6,11078.95
Radiology,DPT104,137,31,22.6,12268.29
Neuromuscular,DPT526,146,33,22.6,11757.58
Allergy,DPT624,138,31,22.5,13083.33
Urinary,DPT845,138,31,22.5,14571.43
Endoscopy,DPT859,129,29,22.5,11500.0
Cardiovascular,DPT915,129,29,22.5,13540.54
Palliative,DPT237,129,29,22.5,15095.24
Autoimmune Disorders,DPT364,134,30,22.4,11256.41
Pediatrics,DPT520,147,33,22.4,13594.59
Reconstructive,DPT119,165,37,22.4,11577.78
Cardiovascular,DPT305,116,26,22.4,14250.0
Palliative,DPT418,174,39,22.4,11488.37
Reproductive - Male,DPT589,143,32,22.4,13882.35
Hematology,DPT589,161,36,22.4,13500.0
Oncology,DPT731,125,28,22.4,12676.47
Pediatrics,DPT742,116,26,22.4,13129.03
Oral,DPT110,121,27,22.3,12852.94
Hepatic,DPT369,121,27,22.3,13393.94
Endoscopy,DPT369,112,25,22.3,13555.56
Occupational Health,DPT110,130,29,22.3,11650.0
Renal,DPT859,139,31,22.3,13027.78
Otolaryngology,DPT337,139,31,22.3,12243.24
Psychiatric,DPT103,148,33,22.3,13204.08
Psychiatric,DPT337,117,26,22.2,12594.59
Oncology,DPT364,153,34,22.2,15150.0
Oncology,DPT104,135,30,22.2,10243.9
Neuromuscular,DPT742,145,32,22.1,13048.78
Hematology,DPT237,131,29,22.1,13894.74
Congenital,DPT223,149,33,22.1,11944.44
Neuromuscular,DPT217,145,32,22.1,14139.53
Endocrine,DPT681,149,33,22.1,13947.37
Sleep Disorders,DPT217,145,32,22.1,12510.64
Endoscopy,DPT103,131,29,22.1,11567.57
Dermatology,DPT678,136,30,22.1,12083.33
Preventive,DPT256,123,27,22.0,12115.38
Obstetrics,DPT418,132,29,22.0,11050.0
Infectious,DPT104,141,31,22.0,13578.95
Palliative,DPT364,123,27,22.0,12714.29
Endoscopy,DPT256,137,30,21.9,12692.31
Immunology,DPT412,128,28,21.9,13806.45
Occupational Health,DPT412,137,30,21.9,12066.67
Neurological,DPT913,137,30,21.9,11459.46
Cardiovascular,DPT845,146,32,21.9,11818.18
Sleep Disorders,DPT369,128,28,21.9,14619.05
Immunology,DPT681,137,30,21.9,12851.85
Psychiatric,DPT110,128,28,21.9,13702.7
Metabolic Disorders,DPT681,128,28,21.9,12028.57
Musculoskeletal,DPT364,147,32,21.8,14314.29
Cardiac Electrophysiology,DPT119,147,32,21.8,12604.65
Reproductive - Female,DPT119,133,29,21.8,13697.67
Pediatrics,DPT110,156,34,21.8,13645.83
Congenital,DPT520,156,34,21.8,13553.19
Pain Management,DPT678,129,28,21.7,15428.57
Pain Management,DPT305,106,23,21.7,13371.43
Renal,DPT103,152,33,21.7,13450.0
Otolaryngology,DPT731,138,30,21.7,15527.78
Metabolic Disorders,DPT337,138,30,21.7,9000.0
Musculoskeletal,DPT742,152,33,21.7,12567.57
Radiology,DPT103,152,33,21.7,13476.19
Oncology,DPT217,161,35,21.7,11909.09
Occupational Health,DPT859,134,29,21.6,14476.19
Metabolic Disorders,DPT256,162,35,21.6,10309.52
Obstetrics,DPT913,162,35,21.6,14360.0
Addiction,DPT794,139,30,21.6,14261.9
Reproductive - Female,DPT794,125,27,21.6,12809.52
Palliative,DPT520,162,35,21.6,14409.09
Toxicology,DPT237,116,25,21.6,12653.85
Addiction,DPT369,148,32,21.6,13878.79
Addiction,DPT589,153,33,21.6,13000.0
Ophthalmology,DPT412,121,26,21.5,14545.45
Preventive,DPT678,130,28,21.5,17617.65
Infectious,DPT223,144,31,21.5,11243.9
Reproductive - Female,DPT217,135,29,21.5,12621.62
Neuromuscular,DPT478,121,26,21.5,12465.12
Neuromuscular,DPT794,130,28,21.5,14333.33
Renal,DPT364,135,29,21.5,11542.86
Cardiac Electrophysiology,DPT412,107,23,21.5,12695.65
Congenital,DPT110,144,31,21.5,16829.27
Allergy,DPT802,135,29,21.5,13125.0
Ophthalmology,DPT217,154,33,21.4,13700.0
Urinary,DPT859,140,30,21.4,13324.32
Addiction,DPT110,154,33,21.4,12319.15
Immunology,DPT103,140,30,21.4,10685.71
Psychiatric,DPT624,140,30,21.4,11846.15
Urinary,DPT418,159,34,21.4,15217.39
Hepatic,DPT624,140,30,21.4,14350.0
Sleep Disorders,DPT104,131,28,21.4,10791.67
Endoscopy,DPT223,159,34,21.4,13558.14
Radiology,DPT913,131,28,21.4,11439.02
Cardiac Electrophysiology,DPT681,131,28,21.4,12307.69
Oral,DPT526,131,28,21.4,11935.48
Gastrointestinal,DPT103,131,28,21.4,10222.22
Sleep Disorders,DPT913,122,26,21.3,13000.0
Musculoskeletal,DPT794,150,32,21.3,15085.71
Occupational Health,DPT418,155,33,21.3,14795.45
Cardiovascular,DPT418,169,36,21.3,12326.92
Renal,DPT104,122,26,21.3,10486.49
Pediatrics,DPT845,136,29,21.3,10952.38
Endoscopy,DPT731,136,29,21.3,12500.0
Oral,DPT256,136,29,21.3,12088.89
Musculoskeletal,DPT526,113,24,21.2,12071.43
Trauma,DPT731,132,28,21.2,11724.14
Otolaryngology,DPT103,132,28,21.2,12175.0
Dermatology,DPT256,146,31,21.2,12714.29
Obstetrics,DPT589,132,28,21.2,14500.0
Hematology,DPT110,132,28,21.2,14718.75
Hematology,DPT678,161,34,21.1,11581.4
Addiction,DPT478,114,24,21.1,11512.82
Trauma,DPT223,128,27,21.1,10513.51
Trauma,DPT678,147,31,21.1,11375.0
Metabolic Disorders,DPT915,180,38,21.1,11042.55
Immunology,DPT119,152,32,21.1,12820.51
Radiology,DPT794,147,31,21.1,13275.0
Gastrointestinal,DPT902,161,34,21.1,11062.5
Reconstructive,DPT859,128,27,21.1,12833.33
Pediatrics,DPT731,128,27,21.1,13368.42
Addiction,DPT104,161,34,21.1,14222.22
Psychiatric,DPT305,124,26,21.0,11205.88
Palliative,DPT104,138,29,21.0,13200.0
Dermatology,DPT794,143,30,21.0,12627.91
Metabolic Disorders,DPT305,138,29,21.0,13375.0
Musculoskeletal,DPT119,167,35,21.0,12666.67
Musculoskeletal,DPT624,124,26,21.0,12681.82
Urinary,DPT624,138,29,21.0,12357.14
Addiction,DPT119,119,25,21.0,12138.89
Sleep Disorders,DPT418,157,33,21.0,14108.7
Radiology,DPT859,115,24,20.9,12500.0
Oral,DPT119,158,33,20.9,14828.57
Preventive,DPT337,129,27,20.9,15027.03
Pain Management,DPT103,134,28,20.9,13828.57
Palliative,DPT305,110,23,20.9,14117.65
Musculoskeletal,DPT845,153,32,20.9,14000.0
Autoimmune Disorders,DPT223,134,28,20.9,11948.72
Ophthalmology,DPT794,134,28,20.9,13457.14
Respiratory,DPT478,148,31,20.9,13866.67
Ophthalmology,DPT902,163,34,20.9,13816.33
Occupational Health,DPT217,148,31,20.9,12625.0
Ophthalmology,DPT103,129,27,20.9,14656.25
Oncology,DPT526,148,31,20.9,14777.78
Psychiatric,DPT217,153,32,20.9,13150.0
Obstetrics,DPT369,125,26,20.8,15730.77
Otolaryngology,DPT526,144,30,20.8,13527.78
Otolaryngology,DPT418,154,32,20.8,13250.0
Cardiac Electrophysiology,DPT256,144,30,20.8,11953.49
Respiratory,DPT681,130,27,20.8,11388.89
Immunology,DPT742,149,31,20.8,13000.0
Otolaryngology,DPT110,130,27,20.8,14270.83
Dermatology,DPT418,159,33,20.8,10558.14
Congenital,DPT731,120,25,20.8,11250.0
Radiology,DPT237,121,25,20.7,11033.33
Preventive,DPT104,150,31,20.7,11477.27
Trauma,DPT794,135,28,20.7,13724.14
Pain Management,DPT478,116,24,20.7,12243.24
Otolaryngology,DPT412,121,25,20.7,11857.14
Immunology,DPT364,135,28,20.7,12378.38
Palliative,DPT794,135,28,20.7,13600.0
Reproductive - Female,DPT902,140,29,20.7,14435.9
Ophthalmology,DPT237,140,29,20.7,12216.22
Renal,DPT902,140,29,20.7,14363.64
Hepatic,DPT681,140,29,20.7,13342.86
Metabolic Disorders,DPT913,145,30,20.7,16000.0
Allergy,DPT845,126,26,20.6,11060.61
Trauma,DPT418,160,33,20.6,12312.5
Trauma,DPT520,160,33,20.6,12055.56
Otolaryngology,DPT678,131,27,20.6,12380.95
Autoimmune Disorders,DPT731,131,27,20.6,12200.0
Trauma,DPT103,136,28,20.6,11761.9
Immunology,DPT589,155,32,20.6,12484.85
Palliative,DPT678,131,27,20.6,15805.56
Radiology,DPT589,175,36,20.6,12825.0
Toxicology,DPT520,155,32,20.6,12553.19
Cardiac Electrophysiology,DPT915,161,33,20.5,12619.05
Congenital,DPT794,127,26,20.5,13640.0
Reconstructive,DPT369,132,27,20.5,12107.14
Metabolic Disorders,DPT110,122,25,20.5,11307.69
Sleep Disorders,DPT110,122,25,20.5,10677.42
Allergy,DPT418,151,31,20.5,12333.33
Hepatic,DPT845,127,26,20.5,15321.43
Ophthalmology,DPT418,151,31,20.5,12102.56
Allergy,DPT915,156,32,20.5,12933.33
Congenital,DPT902,117,24,20.5,10464.29
Cardiac Electrophysiology,DPT794,127,26,20.5,16189.19
Reconstructive,DPT731,137,28,20.4,14578.95
Addiction,DPT520,147,30,20.4,12021.74
Respiratory,DPT589,152,31,20.4,11500.0
Reproductive - Male,DPT217,157,32,20.4,12789.47
Pediatrics,DPT478,108,22,20.4,14111.11
Psychiatric,DPT520,142,29,20.4,8842.11
Hematology,DPT478,113,23,20.4,11346.15
Neurological,DPT742,152,31,20.4,14558.14
Infectious,DPT624,157,32,20.4,12558.14
Psychiatric,DPT902,137,28,20.4,10500.0
Otolaryngology,DPT478,108,22,20.4,13483.87
Pediatrics,DPT902,152,31,20.4,15098.04
Preventive,DPT731,162,33,20.4,12979.17
Preventive,DPT478,103,21,20.4,10300.0
Toxicology,DPT223,142,29,20.4,12128.21
Reconstructive,DPT217,152,31,20.4,14627.45
Hematology,DPT256,167,34,20.4,11209.3
Oral,DPT412,118,24,20.3,13023.26
Musculoskeletal,DPT902,138,28,20.3,14090.91
Geriatrics,DPT237,128,26,20.3,11736.84
Cardiac Electrophysiology,DPT526,143,29,20.3,12826.09
Trauma,DPT337,118,24,20.3,11648.65
Reproductive - Female,DPT478,123,25,20.3,13447.37
Endocrine,DPT223,143,29,20.3,14404.26
Metabolic Disorders,DPT902,133,27,20.3,13171.43
Infectious,DPT369,128,26,20.3,14066.67
Musculoskeletal,DPT859,138,28,20.3,9875.0
Congenital,DPT915,158,32,20.3,15216.22
Addiction,DPT731,128,26,20.3,13781.25
Pediatrics,DPT418,143,29,20.3,14000.0
Trauma,DPT589,138,28,20.3,11487.18
Metabolic Disorders,DPT364,129,26,20.2,12870.97
Cardiac Electrophysiology,DPT478,119,24,20.2,14266.67
Allergy,DPT369,129,26,20.2,13285.71
Hematology,DPT223,124,25,20.2,13685.71
Urinary,DPT915,178,36,20.2,11200.0
Immunology,DPT794,124,25,20.2,12187.5
Neurological,DPT731,129,26,20.2,11447.37
Reconstructive,DPT478,104,21,20.2,12384.62
Allergy,DPT337,129,26,20.2,14586.21
Pediatrics,DPT337,129,26,20.2,12361.11
Radiology,DPT902,124,25,20.2,15268.29
Cardiovascular,DPT589,173,35,20.2,13830.19
Neurological,DPT915,163,33,20.2,12254.9
Pain Management,DPT104,129,26,20.2,15194.44
Neuromuscular,DPT678,134,27,20.1,12590.91
Reproductive - Male,DPT678,144,29,20.1,12343.75
Urinary,DPT103,154,31,20.1,13357.14
Geriatrics,DPT104,139,28,20.1,13500.0
Neuromuscular,DPT845,134,27,20.1,12629.63
Hematology,DPT802,134,27,20.1,14512.2
Gastrointestinal,DPT369,134,27,20.1,13645.83
Psychiatric,DPT678,159,32,20.1,12777.78
Psychiatric,DPT794,139,28,20.1,9804.88
Reproductive - Female,DPT110,134,27,20.1,12393.94
Musculoskeletal,DPT802,149,30,20.1,11756.76
Dermatology,DPT802,134,27,20.1,13111.11
Reproductive - Male,DPT526,164,33,20.1,12051.28
Immunology,DPT526,139,28,20.1,11600.0
Immunology,DPT913,120,24,20.0,12076.92
Endocrine,DPT412,120,24,20.0,15641.03
Infectious,DPT478,125,25,20.0,14535.71
Oncology,DPT478,115,23,20.0,13666.67
Allergy,DPT678,150,30,20.0,13125.0
Trauma,DPT681,125,25,20.0,14433.33
Palliative,DPT478,115,23,20.0,13400.0
Sleep Disorders,DPT103,160,32,20.0,12697.67
Radiology,DPT742,150,30,20.0,13711.11
Pain Management,DPT364,145,29,20.0,12142.86
Gastrointestinal,DPT526,145,29,20.0,12500.0
Immunology,DPT731,120,24,20.0,12657.89
Geriatrics,DPT915,160,32,20.0,11818.18
Sleep Disorders,DPT902,130,26,20.0,9931.03
Toxicology,DPT364,140,28,20.0,11342.86
Psychiatric,DPT859,120,24,20.0,13222.22
Sleep Disorders,DPT119,135,27,20.0,14024.39
Dermatology,DPT742,150,30,20.0,14350.0
Trauma,DPT217,166,33,19.9,12613.64
Ophthalmology,DPT915,156,31,19.9,10340.91
Otolaryngology,DPT119,136,27,19.9,13939.39
Radiology,DPT915,161,32,19.9,12708.33
Reconstructive,DPT915,156,31,19.9,12825.0
Trauma,DPT913,151,30,19.9,10926.83
Oral,DPT104,141,28,19.9,12363.64
Congenital,DPT104,136,27,19.9,12194.44
Preventive,DPT526,126,25,19.8,13611.11
Trauma,DPT802,126,25,19.8,13032.26
Oncology,DPT802,116,23,19.8,12843.75
Infectious,DPT742,131,26,19.8,12055.56
Infectious,DPT526,121,24,19.8,11466.67
Pain Management,DPT624,126,25,19.8,14615.38
Allergy,DPT237,131,26,19.8,11774.19
Toxicology,DPT337,121,24,19.8,13472.22
Reproductive - Female,DPT681,111,22,19.8,16125.0
Congenital,DPT412,131,26,19.8,14060.61
Respiratory,DPT412,101,20,19.8,11764.71
Pain Management,DPT337,142,28,19.7,13413.79
Allergy,DPT305,137,27,19.7,13750.0
Preventive,DPT859,127,25,19.7,14000.0
Urinary,DPT217,157,31,19.7,13846.15
Obstetrics,DPT110,132,26,19.7,12487.18
Metabolic Disorders,DPT520,142,28,19.7,12914.29
Hematology,DPT337,142,28,19.7,15400.0
Psychiatric,DPT742,132,26,19.7,13708.33
Allergy,DPT681,117,23,19.7,11176.47
Sleep Disorders,DPT305,142,28,19.7,15750.0
Endocrine,DPT859,132,26,19.7,12384.62
Obstetrics,DPT103,152,30,19.7,11441.18
Dermatology,DPT526,157,31,19.7,12571.43
Trauma,DPT915,122,24,19.7,9533.33
Urinary,DPT681,137,27,19.7,14523.81
Occupational Health,DPT913,142,28,19.7,13630.43
Hepatic,DPT794,142,28,19.7,12870.97
Pain Management,DPT681,122,24,19.7,14909.09
Respiratory,DPT256,147,29,19.7,12232.56
Neuromuscular,DPT802,137,27,19.7,15121.21
Oncology,DPT681,132,26,19.7,14520.0
Reproductive - Female,DPT589,157,31,19.7,13666.67
Ophthalmology,DPT119,132,26,19.7,10447.37
Congenital,DPT624,137,27,19.7,13634.15
Otolaryngology,DPT223,127,25,19.7,12485.71
Addiction,DPT256,147,29,19.7,12322.58
Immunology,DPT859,138,27,19.6,10685.71
Reproductive - Male,DPT742,138,27,19.6,12295.45
Hepatic,DPT412,112,22,19.6,11909.09
Psychiatric,DPT237,138,27,19.6,13230.77
Neurological,DPT223,148,29,19.6,15000.0
Obstetrics,DPT217,168,33,19.6,12681.82
Reproductive - Female,DPT103,138,27,19.6,14857.14
Allergy,DPT223,143,28,19.6,10450.0
Neuromuscular,DPT589,143,28,19.6,12520.0
Radiology,DPT110,138,27,19.6,11411.76
Preventive,DPT110,148,29,19.6,10780.49
Otolaryngology,DPT237,102,20,19.6,11653.85
Infectious,DPT412,138,27,19.6,12567.57
Reconstructive,DPT742,128,25,19.5,12818.18
Neurological,DPT478,123,24,19.5,12666.67
Reconstructive,DPT305,128,25,19.5,12552.63
Sleep Disorders,DPT681,123,24,19.5,11500.0
Neurological,DPT418,149,29,19.5,12562.5
Radiology,DPT256,159,31,19.5,13692.31
Reproductive - Male,DPT915,164,32,19.5,13592.59
Trauma,DPT256,149,29,19.5,12133.33
Geriatrics,DPT678,123,24,19.5,13225.81
Urinary,DPT256,154,30,19.5,14974.36
Musculoskeletal,DPT223,149,29,19.5,12578.95
Pain Management,DPT412,128,25,19.5,11250.0
Renal,DPT478,133,26,19.5,13452.38
Neuromuscular,DPT369,144,28,19.4,13828.57
Metabolic Disorders,DPT731,139,27,19.4,15257.14
Reproductive - Male,DPT902,139,27,19.4,14388.89
Reproductive - Female,DPT237,144,28,19.4,10813.95
Reproductive - Female,DPT337,134,26,19.4,11913.04
Addiction,DPT337,124,24,19.4,14275.86
Addiction,DPT742,124,24,19.4,13896.55
Neuromuscular,DPT364,129,25,19.4,12666.67
Dermatology,DPT915,155,30,19.4,13090.91
Addiction,DPT859,139,27,19.4,14969.7
Toxicology,DPT742,139,27,19.4,10361.11
Respiratory,DPT902,160,31,19.4,14000.0
Addiction,DPT802,139,27,19.4,12809.52
Oral,DPT103,144,28,19.4,10157.89
Obstetrics,DPT223,134,26,19.4,13022.22
Cardiovascular,DPT859,144,28,19.4,12454.55
Palliative,DPT256,144,28,19.4,15444.44
Geriatrics,DPT802,129,25,19.4,12700.0
Endocrine,DPT337,134,26,19.4,12325.0
Infectious,DPT337,139,27,19.4,12195.65
Obstetrics,DPT742,139,27,19.4,13421.05
Geriatrics,DPT742,160,31,19.4,10138.89
Pain Management,DPT223,150,29,19.3,14302.33
Preventive,DPT742,119,23,19.3,10884.62
Oral,DPT742,145,28,19.3,13655.17
Autoimmune Disorders,DPT681,135,26,19.3,13179.49
Gastrointestinal,DPT256,140,27,19.3,14682.93
Occupational Health,DPT589,150,29,19.3,12456.52
Oral,DPT520,166,32,19.3,10736.84
Endocrine,DPT217,161,31,19.3,10644.44
Ophthalmology,DPT305,150,29,19.3,13744.68
Dermatology,DPT913,140,27,19.3,14222.22
Cardiovascular,DPT223,145,28,19.3,16206.9
Psychiatric,DPT364,135,26,19.3,13600.0
Dermatology,DPT859,135,26,19.3,12410.26
Cardiovascular,DPT256,177,34,19.2,13826.09
Endocrine,DPT364,146,28,19.2,11256.41
Preventive,DPT305,125,24,19.2,13236.84
Occupational Health,DPT742,146,28,19.2,13837.21
Endocrine,DPT418,151,29,19.2,12025.0
Radiology,DPT305,125,24,19.2,16357.14
Hepatic,DPT589,172,33,19.2,14280.0
Sleep Disorders,DPT520,167,32,19.2,14232.56
Endocrine,DPT103,146,28,19.2,13738.1
Oral,DPT678,146,28,19.2,11046.51
Gastrointestinal,DPT520,156,30,19.2,13351.35
Cardiac Electrophysiology,DPT913,130,25,19.2,12843.75
Autoimmune Disorders,DPT678,151,29,19.2,12632.65
Hepatic,DPT119,146,28,19.2,11117.65
Urinary,DPT902,152,29,19.1,13605.26
Hepatic,DPT742,141,27,19.1,13457.14
Dermatology,DPT110,131,25,19.1,15028.57
Infectious,DPT119,152,29,19.1,12270.27
Preventive,DPT845,115,22,19.1,12486.49
Reproductive - Female,DPT802,141,27,19.1,13176.47
Reproductive - Female,DPT678,131,25,19.1,13000.0
Hematology,DPT369,136,26,19.1,13372.09
Oral,DPT845,136,26,19.1,12945.95
Obstetrics,DPT526,141,27,19.1,12583.33
Cardiac Electrophysiology,DPT624,136,26,19.1,12314.29
Oncology,DPT103,141,27,19.1,11260.87
Oncology,DPT119,131,25,19.1,13266.67
Obstetrics,DPT845,136,26,19.1,12852.94
Reproductive - Male,DPT256,141,27,19.1,14378.38
Cardiovascular,DPT520,152,29,19.1,14818.18
Urinary,DPT237,100,19,19.0,16700.0
Infectious,DPT794,142,27,19.0,11600.0
Radiology,DPT418,147,28,19.0,12227.27
Autoimmune Disorders,DPT794,158,30,19.0,12090.91
Radiology,DPT624,142,27,19.0,11857.14
Renal,DPT794,116,22,19.0,13121.21
Obstetrics,DPT902,147,28,19.0,14783.78
Allergy,DPT104,121,23,19.0,13944.44
Geriatrics,DPT681,137,26,19.0,11545.45
Palliative,DPT913,105,20,19.0,16263.16
Renal,DPT845,142,27,19.0,13585.37
Toxicology,DPT915,158,30,19.0,13837.21
Otolaryngology,DPT681,116,22,19.0,15629.63
Reproductive - Male,DPT103,142,27,19.0,12851.85
Radiology,DPT678,158,30,19.0,14148.15
Cardiac Electrophysiology,DPT223,153,29,19.0,14057.14
Metabolic Disorders,DPT217,142,27,19.0,12612.9
Cardiovascular,DPT412,137,26,19.0,12923.08
Respiratory,DPT364,142,27,19.0,14575.0
Occupational Health,DPT681,106,20,18.9,12233.33
